SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Vacant Land,PRESCOTT CIR,OAKLEY,CA,94561,637000,,,,,,,,,,,,,http://www.redfin.com/CA/OAKLEY/PRESCOTT-CIR-94561/home/112888263,,,N,Y,37.9974219,-121.7124536
PAST SALE,,Single Family Residential,1817 Tioga Pass Way,Antioch,CA,94531,452000,3,2.0,,2845,13583,2000,,159,,,,,http://www.redfin.com/CA/Antioch/1817-Tioga-Pass-Way-94531/home/1217653,,,N,Y,37.9595588,-121.7959538
PAST SALE,February-8-2017,Single Family Residential,142 S 7TH St,Richmond,CA,94804,310000,3,1.0,Richmond,922,3729,1910,25,336,,Sold,,,http://www.redfin.com/CA/Richmond/142-S-7th-St-94804/home/1926355,EBRD/CCAR/Bay East,40755555,N,Y,37.929968,-122.362682
PAST SALE,,Single Family Residential,2510 Esmond Ave,Richmond,CA,94804,425000,3,2.0,,1176,4578,1922,,361,,,,,http://www.redfin.com/CA/Richmond/2510-Esmond-Ave-94804/home/1632674,,,N,Y,37.944924,-122.344163
PAST SALE,February-10-2017,Single Family Residential,520 Lopes Ct,Pinole,CA,94564,539000,3,2.5,Bayview Vista,1846,4553,1990,23,292,38,Sold,,,http://www.redfin.com/CA/Pinole/520-Lopes-Ct-94564/home/1460323,EBRD/CCAR/Bay East,40766481,N,Y,38.0059615,-122.2975532
PAST SALE,February-14-2017,Single Family Residential,1868 1St St,Richmond,CA,94801,355000,3,1.0,North Richmond,1186,5000,1952,19,299,,Sold,,,http://www.redfin.com/CA/Richmond/1868-1st-St-94801/home/1097336,EBRD/CCAR/Bay East,40766577,N,Y,37.9599369,-122.368483
PAST SALE,February-27-2017,Single Family Residential,3907 Mosswood Ct,Concord,CA,94519,478000,3,2.0,Dana Estates,1438,7350,1965,6,332,,Sold,,,http://www.redfin.com/CA/Concord/3907-Mosswood-Ct-94519/home/1406719,EBRD/CCAR/Bay East,40769739,N,Y,37.989309,-122.000938
PAST SALE,February-15-2017,Condo/Co-op,3079 Camino Diablo,Lafayette,CA,94549,680000,2,1.5,Lafayette,1253,,1979,18,543,350,Sold,,,http://www.redfin.com/CA/Lafayette/3079-Camino-Diablo-94549/home/1960825,EBRD/CCAR/Bay East,40767956,N,Y,37.8991376,-122.0895925
PAST SALE,February-22-2017,Single Family Residential,4585 Coolidge St,Concord,CA,94521,625000,6,2.0,Bishop Estates,1932,8000,1962,11,323,,Sold,,,http://www.redfin.com/CA/Concord/4585-Coolidge-St-94521/home/1937718,EBRD/CCAR/Bay East,40766572,N,Y,37.973132,-121.973805
PAST SALE,February-27-2017,Condo/Co-op,5075 Valley Crest Dr #253,Concord,CA,94521,335000,3,2.5,Valley Crest,1247,,1984,6,269,335,Sold,,,http://www.redfin.com/CA/Concord/5075-Valley-Crest-Dr-94521/unit-253/home/1423578,EBRD/CCAR/Bay East,40766969,N,Y,37.9561343,-121.9709716
PAST SALE,February-15-2017,Condo/Co-op,945 Bancroft Rd #217,Concord,CA,94518,260000,1,1.0,Concord,570,,1971,18,456,363,Sold,,,http://www.redfin.com/CA/Concord/945-Bancroft-Rd-94518/unit-217/home/17038528,EBRD/CCAR/Bay East,40760951,N,Y,37.937922,-122.051331
PAST SALE,March-1-2017,Single Family Residential,3704 Northgate Woods Ct,Walnut Creek,CA,94598,2225000,5,5.0,North Gate,5654,40075,1998,4,394,,Sold,,,http://www.redfin.com/CA/Walnut-Creek/3704-Northgate-Woods-Ct-94598/home/642659,EBRD/CCAR/Bay East,40768811,N,Y,37.911329,-121.994981
PAST SALE,February-6-2017,Single Family Residential,1608 COVENTRY Dr,Oakley,CA,94561,537777,5,3.0,Laurel Crest,2947,6200,2016,27,182,,Sold,,,http://www.redfin.com/CA/Oakley/1608-Coventry-Dr-94561/home/23391474,EBRD/CCAR/Bay East,40765151,N,Y,37.979839,-121.730255
PAST SALE,February-16-2017,Condo/Co-op,2031 Market Ave #115,San Pablo,CA,94806,190000,2,1.0,San Pablo,949,,1980,17,200,338,Sold,,,http://www.redfin.com/CA/San-Pablo/2031-Market-Ave-94806/unit-115/home/1558530,EBRD/CCAR/Bay East,40765605,N,Y,37.957822,-122.349338
PAST SALE,February-24-2017,Single Family Residential,257 Orchard Rd,Orinda,CA,94563,1056590,2,1.0,Glorietta,1251,22216,1948,9,845,,Sold,,,http://www.redfin.com/CA/Orinda/257-Orchard-Rd-94563/home/1531547,EBRD/CCAR/Bay East,40767972,N,Y,37.861668,-122.164272
PAST SALE,February-16-2017,Single Family Residential,1076 Fox Meadow Way,Concord,CA,94518,650900,4,2.5,Concord,1849,5880,1977,17,352,,Sold,,,http://www.redfin.com/CA/Concord/1076-Fox-Meadow-Way-94518/home/1010942,EBRD/CCAR/Bay East,40766609,N,Y,37.952508,-122.033981
PAST SALE,February-22-2017,Condo/Co-op,43 Bayside Ct,Richmond,CA,94804,388000,2,2.0,Marina Bay,1005,2124,1990,11,386,456,Sold,,,http://www.redfin.com/CA/Richmond/43-Bayside-Ct-94804/home/12122176,EBRD/CCAR/Bay East,40765681,N,Y,37.911858,-122.3404356
PAST SALE,February-6-2017,Condo/Co-op,1246 Walker Ave #307,Walnut Creek,CA,94596,282500,1,1.0,Greenwood,490,490,1971,27,577,367,Sold,,,http://www.redfin.com/CA/Walnut-Creek/1246-Walker-Ave-94596/unit-307/home/1471893,EBRD/CCAR/Bay East,40766662,N,Y,37.901111,-122.055405
PAST SALE,February-3-2017,Single Family Residential,1828 Bonita Rd,San Pablo,CA,94806,770000,4,3.0,San Pablo,3312,23087,1959,30,232,,Sold,,,http://www.redfin.com/CA/San-Pablo/1828-Bonita-Rd-94806/home/1765380,EBRD/CCAR/Bay East,40765484,N,Y,37.959676,-122.319534
PAST SALE,February-28-2017,Condo/Co-op,1116 Oakmont Dr #4,Walnut Creek,CA,94595,270000,2,1.0,Rossmoor,1054,,1964,5,256,638,Sold,,,http://www.redfin.com/CA/Walnut-Creek/1116-Oakmont-Dr-94595/unit-4/home/1004988,EBRD/CCAR/Bay East,40764733,N,Y,37.870212,-122.076443
PAST SALE,February-24-2017,Single Family Residential,1682 Greenyard Ct,Brentwood,CA,94513-5844,508000,4,2.0,Town Square,1861,6262,1998,9,273,,Sold,,,http://www.redfin.com/CA/Brentwood/1682-Greenyard-Ct-94513/home/1712419,EBRD/CCAR/Bay East,40769002,N,Y,37.9407837,-121.727606
PAST SALE,February-17-2017,Single Family Residential,70 Trish Ct,Danville,CA,94506,1815000,5,4.0,Danville,3932,18251,2001,16,462,,Sold,,,http://www.redfin.com/CA/Danville/70-Trish-Ct-94506/home/967232,EBRD/CCAR/Bay East,40768668,N,Y,37.80687,-121.942304
PAST SALE,February-22-2017,Single Family Residential,2901 Camby,Antioch,CA,94509,480000,6,3.5,Antioch,,11742,1974,11,,,Sold,,,http://www.redfin.com/CA/Antioch/2901-Camby-Rd-94509/home/1863847,EBRD/CCAR/Bay East,40765942,N,Y,37.989909,-121.81669
PAST SALE,February-3-2017,Single Family Residential,5127 toyon Ct,Antioch,CA,94531,390000,4,2.0,Diablo Hills Est,1588,7235,1997,30,246,,Sold,,,http://www.redfin.com/CA/Antioch/5127-Toyon-Ct-94531/home/1662495,EBRD/CCAR/Bay East,40761103,N,Y,37.959071,-121.770632
PAST SALE,,Vacant Land,COOLCREST DR,Oakley,CA,94561,441500,,,,,,,,,,,,,http://www.redfin.com/CA/Oakley/COOLCREST-DR-94561/home/112888336,,,N,Y,37.9974219,-121.7124536
PAST SALE,,Vacant Land,PRESCOTT CIR,OAKLEY,CA,94561,517000,,,,,,,,,,,,,http://www.redfin.com/CA/OAKLEY/PRESCOTT-CIR-94561/home/112888634,,,N,Y,37.9974219,-121.7124536
PAST SALE,February-8-2017,Condo/Co-op,1133 Rockledge Ln #2,Walnut Creek,CA,94595-7407,310000,1,1.0,Rossmoor,842,1,1964,25,368,854,Sold,,,http://www.redfin.com/CA/Walnut-Creek/1133-Rockledge-Ln-94595/unit-2/home/1197690,EBRD/CCAR/Bay East,40765947,N,Y,37.866335,-122.075033
PAST SALE,February-7-2017,Single Family Residential,18 Atherton Cir,Pittsburg,CA,94565,347500,4,2.0,Pittsburg,1497,7072,1976,26,232,,Sold,,,http://www.redfin.com/CA/Pittsburg/18-Atherton-Cir-94565/home/1973262,EBRD/CCAR/Bay East,40764634,N,Y,38.014575,-121.904137
PAST SALE,February-7-2017,Condo/Co-op,24 Heritage Oaks Rd,Pleasant Hill,CA,94523,630000,2,3.0,Heritage Oaks,1999,2240,1980,26,315,385,Sold,,,http://www.redfin.com/CA/Pleasant-Hill/24-Heritage-Oaks-Rd-94523/home/975047,EBRD/CCAR/Bay East,40765990,N,Y,37.96757,-122.098504
PAST SALE,February-8-2017,Single Family Residential,2812 Saint Joseph Dr,Concord,CA,94518,725000,4,2.5,Vista Diablo,2049,7000,1978,25,354,,Sold,,,http://www.redfin.com/CA/Concord/2812-Saint-Joseph-Dr-94518/home/1393335,EBRD/CCAR/Bay East,40765577,N,Y,37.949719,-122.023184
PAST SALE,February-9-2017,Single Family Residential,225 Rolfe Dr,Pittsburg,CA,94565,390000,3,2.5,River Run,1608,4120,1990,24,243,60,Sold,,,http://www.redfin.com/CA/Pittsburg/225-Rolfe-Dr-94565/home/644774,EBRD/CCAR/Bay East,40766858,N,Y,38.021454,-121.901092
PAST SALE,,Condo/Co-op,39 Shoreline Ct #38,Richmond,CA,94804,410000,2,1.0,,869,,1990,,472,,,,,http://www.redfin.com/CA/Richmond/39-Shoreline-Ct-94804/unit-38/home/12128583,,,N,Y,37.9112781,-122.3426953
PAST SALE,,Single Family Residential,3563 Desanie Cir,Bay Point,CA,94565,250000,3,2.0,,1365,4368,1981,,183,,,,,http://www.redfin.com/CA/Bay-Point/3563-Desanie-Cir-94565/home/894467,,,N,Y,38.0294494,-121.9601812
PAST SALE,February-10-2017,Single Family Residential,11 San Carlos Ave,El Cerrito,CA,94530,1250000,3,2.0,St Jeromes,1537,4200,1940,23,813,,Sold,,,http://www.redfin.com/CA/El-Cerrito/11-San-Carlos-Ave-94530/home/1146205,EBRD/CCAR/Bay East,40770032,N,Y,37.897805,-122.289259
PAST SALE,February-10-2017,Condo/Co-op,2742 Oak Rd #193,Walnut Creek,CA,94597,315000,1,1.0,Station West,638,,1973,23,494,280,Sold,,,http://www.redfin.com/CA/Walnut-Creek/2742-Oak-Rd-94597/unit-193/home/1123221,EBRD/CCAR/Bay East,40768176,N,Y,37.924534,-122.057242
PAST SALE,February-9-2017,Single Family Residential,2536 Valente Dr,Pittsburg,CA,94565,577300,4,2.5,Pittsburg,2415,3196,2016,24,239,,Sold,,,http://www.redfin.com/CA/Pittsburg/2536-VALENTE-DR-Unknown/home/112267036,EBRD/CCAR/Bay East,40765358,N,Y,38.0279762,-121.8846806
PAST SALE,February-8-2017,Single Family Residential,641 Chandon Ct,Oakley,CA,94561,410000,4,3.0,Vintage Parkway,2018,7500,1989,25,203,,Sold,,,http://www.redfin.com/CA/Oakley/641-Chandon-Ct-94561/home/1807766,EBRD/CCAR/Bay East,40765673,N,Y,38.0056882,-121.7239465
PAST SALE,February-7-2017,Single Family Residential,5325 Alhambra Valley Rd,Martinez,CA,94553,1050000,4,4.0,Alhambra  Valley,3558,49223,1953,26,295,,Sold,,,http://www.redfin.com/CA/Martinez/5325-Alhambra-Valley-Rd-94553/home/1735704,EBRD/CCAR/Bay East,40763058,N,Y,37.964427,-122.137567
PAST SALE,February-7-2017,Single Family Residential,3440 CHUGACH Pl,Concord,CA,94518,668000,4,2.0,The Palms,2000,8480,1965,26,334,,Sold,,,http://www.redfin.com/CA/Concord/3440-Chugach-Pl-94518/home/1854663,EBRD/CCAR/Bay East,40754679,N,Y,37.943744,-122.014636
PAST SALE,February-9-2017,Single Family Residential,1740 Getoun Ct,Concord,CA,94518,735000,4,2.5,Colony Park,1870,7650,1971,24,393,,Sold,,,http://www.redfin.com/CA/Concord/1740-Getoun-Ct-94518/home/798155,EBRD/CCAR/Bay East,40765561,N,Y,37.940436,-122.035844
PAST SALE,February-10-2017,Multi-Family (2-4 Unit),980 Lemon St,Martinez,CA,94553,425000,4,2.0,Martinez,1444,4900,1938,23,294,,Sold,,,http://www.redfin.com/CA/Martinez/980-Lemon-St-94553/home/1268142,EBRD/CCAR/Bay East,40763768,N,Y,38.0068879,-122.118356
PAST SALE,February-8-2017,Single Family Residential,836 Atherton Blvd,Brentwood,CA,94513,564000,3,3.0,Brentwood Park,2380,8983,2001,25,237,,Sold,,,http://www.redfin.com/CA/Brentwood/836-Atherton-Blvd-94513/home/929373,EBRD/CCAR/Bay East,40765077,N,Y,37.966937,-121.711641
PAST SALE,February-8-2017,Single Family Residential,240 Lake Dr,Kensington,CA,94708,746000,3,1.0,Berkeley Woods,1399,5500,1948,25,533,,Sold,,,http://www.redfin.com/CA/Kensington/240-Lake-Dr-94708/home/1883785,EBRD/CCAR/Bay East,40769721,N,Y,37.909413,-122.2725646
PAST SALE,February-7-2017,Single Family Residential,2189 Forsythia Dr,Martinez,CA,94553-6715,725000,4,2.5,Martinez,2329,7000,1991,26,311,,Sold,,,http://www.redfin.com/CA/Martinez/2189-Forsythia-Dr-94553/home/1799461,EBRD/CCAR/Bay East,40757606,N,Y,37.998039,-122.089412
PAST SALE,February-9-2017,Condo/Co-op,1252 Marionola Way,Pinole,CA,94564,330000,3,1.5,Contra Costa,1167,,1972,24,283,190,Sold,,,http://www.redfin.com/CA/Pinole/1252-Marionola-Way-94564/home/1518720,BAREIS,21627480,N,Y,37.9988157,-122.2950936
PAST SALE,February-10-2017,Condo/Co-op,2685 Oak Rd #156,Walnut Creek,CA,94597,509000,2,2.0,Hampton,1144,,1989,23,445,410,Sold,,,http://www.redfin.com/CA/Walnut-Creek/2685-Oak-Rd-94597/unit-156/home/552228,EBRD/CCAR/Bay East,40767246,N,Y,37.921861,-122.059973
PAST SALE,February-9-2017,Single Family Residential,,Richmond,CA,94806,480000,3,2.0,Hilltop,1674,6400,1963,24,287,,Sold,,,http://www.redfin.com/CA/San-Pablo/Undisclosed-address-94806/home/1109310,EBRD/CCAR/Bay East,40765680,N,Y,37.971171,-122.332055
PAST SALE,February-8-2017,Single Family Residential,130 French Dr,Brentwood,CA,94513,617035,4,3.0,Brentwood,2554,8309,2016,25,242,,Sold,,,http://www.redfin.com/CA/BRENTWOOD/130-FRENCH-DR-94513/home/109483256,EBRD/CCAR/Bay East,40762640,N,Y,37.931868,-121.6957863
