SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-22-2017,Single Family Residential,2772 CHELSEA Dr,Oakland,CA,94611,975000,2,2.0,Piedmont Pines,1260,18070,1947,11,774,,Sold,,,http://www.redfin.com/CA/Oakland/2772-Chelsea-Dr-94611/home/22805953,EBRD/CCAR/Bay East,40767196,N,Y,37.825719,-122.19152
PAST SALE,February-7-2017,Single Family Residential,2817 99TH Ave,Oakland,CA,94605,365000,2,2.0,Oakland Zoo,1487,6150,1941,26,245,,Sold,,,http://www.redfin.com/CA/Oakland/2817-99th-Ave-94605/home/1096834,EBRD/CCAR/Bay East,40751370,N,Y,37.74901,-122.152083
PAST SALE,,Vacant Land,340 29th Ave,Oakland,CA,94601,443000,,2.0,,3109,25665,1969,,142,,,,,http://www.redfin.com/CA/Oakland/340-29th-Ave-94601/home/40628544,,,N,Y,37.772336,-122.235463
PAST SALE,,Vacant Land,199 Filbert St,Hayward,CA,94541,682000,,,,,6496,,,,,,,,http://www.redfin.com/CA/Hayward/199-Filbert-St-94541/home/112886815,,,N,Y,37.664508,-122.094176
PAST SALE,February-23-2017,Townhouse,10734 Dulsie Ln,Dublin,CA,94568,585000,2,2.0,Highlands,1103,,1996,10,530,325,Sold,,,http://www.redfin.com/CA/Dublin/10734-Dulsie-Ln-94568/home/40449693,EBRD/CCAR/Bay East,40767615,N,Y,37.7003077,-121.9573616
PAST SALE,February-22-2017,Single Family Residential,1502 5Th St,Berkeley,CA,94710,815000,2,1.0,West Berkeley,1150,2700,1904,11,709,,Sold,,,http://www.redfin.com/CA/Berkeley/1502-Fifth-St-94710/home/2045415,EBRD/CCAR/Bay East,40767814,N,Y,37.8747982,-122.3012217
PAST SALE,February-28-2017,Single Family Residential,13905 Rose Dr,San Leandro,CA,94578,515000,3,1.0,Lower Bal,1016,7200,1942,5,507,,Sold,,,http://www.redfin.com/CA/San-Leandro/13905-Rose-Dr-94578/home/782127,EBRD/CCAR/Bay East,40767985,N,Y,37.7113989,-122.1422434
PAST SALE,February-27-2017,Single Family Residential,21614 Banyan St,Hayward,CA,94541,625000,4,2.0,Cherryland,1788,16344,1922,6,350,,Sold,,,http://www.redfin.com/CA/Hayward/21614-Banyan-St-94541/home/976710,EBRD/CCAR/Bay East,40761929,N,Y,37.67494,-122.103943
PAST SALE,February-24-2017,Single Family Residential,160 Elvira St,Livermore,CA,94550,625000,4,2.0,Carlton Square,1670,6500,1966,9,374,,Sold,,,http://www.redfin.com/CA/Livermore/160-Elvira-St-94550/home/755715,EBRD/CCAR/Bay East,40768184,N,Y,37.675819,-121.797849
PAST SALE,February-14-2017,Single Family Residential,1443 Bockman Rd,San Lorenzo,CA,94580,520000,3,1.0,San Lorenzo Vilg,1339,7521,1951,19,388,10,Sold,,,http://www.redfin.com/CA/San-Lorenzo/1443-Bockman-Rd-94580/home/933554,EBRD/CCAR/Bay East,40767743,N,Y,37.670259,-122.136385
PAST SALE,,Unknown,340 29th Ave Unit 307,Oakland,CA,94601,561000,,,,,,,,,,,,,http://www.redfin.com/CA/Oakland/340-29th-Ave-94601/unit-307/home/113254548,,,N,Y,37.772336,-122.235463
PAST SALE,February-17-2017,Condo/Co-op,30 Leighty,Hayward,CA,94541-1975,320500,2,2.0,Cherryland,864,22745,1992,16,371,175,Sold,,,http://www.redfin.com/CA/Hayward/30-Leighty-Ct-94541/unit-3/home/1812839,EBRD/CCAR/Bay East,40769341,N,Y,37.6773972,-122.111549
PAST SALE,February-28-2017,Single Family Residential,1216 Peralta Ave,Berkeley,CA,94706,852000,4,2.0,Berkeley/Albany,1411,4025,1923,5,604,,Sold,,,http://www.redfin.com/CA/Berkeley/1216-Peralta-Ave-94706/home/1467339,San Francisco MLS,453721,N,Y,37.8819299,-122.287692
